GEO.display-label,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC04_EST_VC03,HC05_EST_VC03,HC06_EST_VC03,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC04_EST_VC07,HC05_EST_VC07,HC06_EST_VC07
Geography,Total; Estimate; Kindergarten to 12th grade,Percent; Estimate; Kindergarten to 12th grade,In public school; Estimate; Kindergarten to 12th grade,Percent in public school; Estimate; Kindergarten to 12th grade,In private school; Estimate; Kindergarten to 12th grade,Percent in private school; Estimate; Kindergarten to 12th grade,Total; Estimate; High school: grade 9 to grade 12,Percent; Estimate; High school: grade 9 to grade 12,In public school; Estimate; High school: grade 9 to grade 12,Percent in public school; Estimate; High school: grade 9 to grade 12,In private school; Estimate; High school: grade 9 to grade 12,Percent in private school; Estimate; High school: grade 9 to grade 12
Alabama,813144,68.4,724361,89.1,88783,10.9,255751,21.5,227776,89.1,27975,10.9
Alaska,131477,69.4,120018,91.3,11459,8.7,41069,21.7,37670,91.7,3399,8.3
Arizona,1191589,68,1106579,92.9,85010,7.1,374763,21.4,351023,93.7,23740,6.3
Arkansas,506238,68.2,467465,92.3,38773,7.7,155607,21,143581,92.3,12026,7.7
California,6701350,63.7,6139176,91.6,562174,8.4,2174435,20.7,2003869,92.2,170566,7.8
Colorado,916890,65.9,847835,92.5,69055,7.5,279707,20.1,260598,93.2,19109,6.8
Connecticut,588826,64,529644,89.9,59182,10.1,199541,21.7,177321,88.9,22220,11.1
Delaware,149252,64.2,130288,87.3,18964,12.7,46543,20,40585,87.2,5958,12.8
District of Columbia,76667,46.2,64741,84.4,11926,15.6,23577,14.2,19505,82.7,4072,17.3
Florida,3044368,64.7,2682278,88.1,362090,11.9,974449,20.7,869834,89.3,104615,10.7
Georgia,1860863,67.5,1683876,90.5,176987,9.5,583074,21.2,525782,90.2,57292,9.8
Hawaii,210404,63.7,171757,81.6,38647,18.4,63694,19.3,49602,77.9,14092,22.1
Idaho,315810,70.9,290625,92,25185,8,96513,21.7,89439,92.7,7074,7.3
Illinois,2186862,65.6,1950590,89.2,236272,10.8,697554,20.9,631609,90.5,65945,9.5
Indiana,1156249,68.1,1021830,88.4,134419,11.6,359904,21.2,323653,89.9,36251,10.1
Iowa,527066,65.3,476536,90.4,50530,9.6,159487,19.8,146367,91.8,13120,8.2
Kansas,518306,66.2,464104,89.5,54202,10.5,159435,20.4,144917,90.9,14518,9.1
Kentucky,735070,68.4,647815,88.1,87255,11.9,225946,21,199577,88.3,26369,11.7
Louisiana,804139,68.9,663420,82.5,140719,17.5,239206,20.5,197652,82.6,41554,17.4
Maine,194381,66.3,174798,89.9,19583,10.1,64389,21.9,56715,88.1,7674,11.9
Maryland,977491,62.9,845049,86.5,132442,13.5,310812,20,266590,85.8,44222,14.2
Massachusetts,1036615,59.7,931739,89.9,104876,10.1,343788,19.8,304548,88.6,39240,11.4
Michigan,1646868,65.3,1484598,90.1,162270,9.9,538584,21.4,491128,91.2,47456,8.8
Minnesota,937211,67.1,842909,89.9,94302,10.1,293919,21.1,269715,91.8,24204,8.2
Mississippi,538362,68.2,476290,88.5,62072,11.5,161892,20.5,143191,88.4,18701,11.6
Missouri,1010396,66.7,882172,87.3,128224,12.7,311802,20.6,275222,88.3,36580,11.7
Montana,162262,68.6,146765,90.4,15497,9.6,48720,20.6,44271,90.9,4449,9.1
Nebraska,334505,66,294741,88.1,39764,11.9,101212,20,90256,89.2,10956,10.8
Nevada,492534,71.1,458664,93.1,33870,6.9,154344,22.3,144916,93.9,9428,6.1
New Hampshire,200845,64.2,178429,88.8,22416,11.2,66638,21.3,58450,87.7,8188,12.3
New Jersey,1484462,65.8,1320439,89,164023,11,479492,21.2,424025,88.4,55467,11.6
New Mexico,369002,67.2,339797,92.1,29205,7.9,113313,20.6,104738,92.4,8575,7.6
New York,3068506,63,2652713,86.4,415793,13.6,991029,20.4,859643,86.7,131386,13.3
North Carolina,1685243,66.7,1526577,90.6,158666,9.4,531877,21.1,485174,91.2,46703,8.8
North Dakota,114244,62.9,105095,92,9149,8,32714,18,30350,92.8,2364,7.2
Ohio,1930052,67,1671370,86.6,258682,13.4,616389,21.4,538597,87.4,77792,12.6
Oklahoma,689022,68.7,634724,92.1,54298,7.9,203412,20.3,187716,92.3,15696,7.7
Oregon,626100,65.7,564163,90.1,61937,9.9,196728,20.6,179972,91.5,16756,8.5
Pennsylvania,1967610,65.6,1689574,85.9,278036,14.1,632521,21.1,549103,86.8,83418,13.2
Rhode Island,154889,58.7,135562,87.5,19327,12.5,50080,19,43108,86.1,6972,13.9
South Carolina,815922,67.9,739431,90.6,76491,9.4,252133,21,230677,91.5,21456,8.5
South Dakota,147005,68.2,133013,90.5,13992,9.5,43442,20.2,39557,91.1,3885,8.9
Tennessee,1086776,68.9,954745,87.9,132031,12.1,340607,21.6,296626,87.1,43981,12.9
Texas,5253051,69.6,4895570,93.2,357481,6.8,1580575,20.9,1480467,93.7,100108,6.3
Utah,651540,68,612525,94,39015,6,195502,20.4,184929,94.6,10573,5.4
Vermont,90863,61.9,81929,90.2,8934,9.8,30728,20.9,27558,89.7,3170,10.3
Virginia,1365586,63.6,1226778,89.8,138808,10.2,427420,19.9,388836,91,38584,9
Washington,1163069,67.4,1051192,90.4,111877,9.6,362602,21,335497,92.5,27105,7.5
West Virginia,272467,68.4,252797,92.8,19670,7.2,83290,20.9,77287,92.8,6003,7.2
Wisconsin,968260,67.1,840177,86.8,128083,13.2,302634,21,274850,90.8,27784,9.2
Wyoming,99713,67.7,93356,93.6,6357,6.4,28578,19.4,27005,94.5,1573,5.5
Puerto Rico,558876,64.1,431925,77.3,126951,22.7,183545,21,141518,77.1,42027,22.9
